,state,Year,Uninsured: %
671,AK,2009,21.7
672,AK,2008,22.5
673,AK,2007,22.2
674,AK,2006,21.0
675,AK,2014,25.4
676,AK,2013,27.3
677,AK,2012,29.0
678,AK,2011,29.9
679,AK,2010,29.9
680,AK,2009,31.3
681,AK,2008,31.0
682,AK,2007,22.1
683,AK,2006,20.1
684,AK,2014,16.6
685,AK,2013,18.7
686,AK,2012,21.1
687,AK,2011,21.1
688,AK,2010,20.3
689,AK,2009,20.6
690,AK,2008,17.7
691,AK,2007,18.9
692,AK,2006,19.1
693,AK,2014,24.5
694,AK,2013,30.3
695,AK,2012,31.1
696,AK,2011,28.2
697,AK,2010,28.9
698,AK,2009,27.8
699,AK,2008,25.4
700,AK,2007,23.0
701,AK,2006,24.9
702,AK,2014,29.7
703,AK,2013,33.4
704,AK,2012,33.7
705,AK,2011,32.4
706,AK,2010,34.7
707,AK,2009,34.4
708,AK,2008,30.3
709,AK,2014,17.4
710,AK,2013,17.2
711,AK,2012,18.8
712,AK,2011,20.4
713,AK,2010,19.3
714,AK,2009,19.0
715,AK,2008,18.2
716,AK,2007,14.6
717,AK,2006,14.3
718,AK,2014,20.9
719,AK,2013,23.1
720,AK,2012,24.5
721,AK,2011,23.0
722,AK,2010,23.6
723,AK,2009,25.5
724,AK,2008,23.4
725,AK,2007,19.9
726,AK,2006,24.3
727,AK,2014,21.1
728,AK,2013,22.9
729,AK,2012,24.7
730,AK,2011,25.9
731,AK,2010,23.3
732,AK,2009,25.0
733,AK,2008,22.0
734,AK,2007,17.9
735,AK,2006,17.7
736,AK,2014,24.8
737,AK,2013,26.8
738,AK,2012,27.7
739,AK,2011,29.6
740,AK,2010,28.1
741,AK,2009,28.8
742,AK,2008,24.9
743,AK,2007,21.9
744,AK,2006,22.5
745,AK,2014,30.0
746,AK,2013,31.5
747,AK,2012,33.7
748,AK,2011,35.9
749,AK,2010,33.9
750,AK,2009,39.5
751,AK,2008,40.3
752,AK,2007,30.1
753,AK,2006,23.5
754,AK,2014,18.5
755,AK,2013,20.8
756,AK,2012,21.7
757,AK,2011,21.7
758,AK,2010,21.2
759,AK,2009,23.6
760,AK,2008,23.1
761,AK,2007,23.3
762,AK,2006,22.3
763,AK,2014,27.4
764,AK,2013,29.3
765,AK,2012,28.4
766,AK,2011,28.8
767,AK,2010,29.3
768,AK,2009,31.3
769,AK,2008,30.4
770,AK,2007,19.7
771,AK,2006,15.5
772,AK,2014,23.3
773,AK,2013,25.5
774,AK,2012,25.4
775,AK,2011,24.1
776,AK,2010,25.2
777,AK,2009,27.7
778,AK,2008,25.0
779,AK,2007,16.5
780,AK,2006,16.6
781,AK,2014,27.8
782,AK,2013,29.7
783,AK,2012,30.2
784,AK,2011,29.2
785,AK,2010,28.9
786,AK,2009,30.6
787,AK,2008,28.9
788,AK,2007,15.2
789,AK,2006,13.7
790,AK,2014,20.4
791,AK,2013,25.4
792,AK,2012,26.4
793,AK,2011,24.2
794,AK,2010,24.7
795,AK,2009,26.5
796,AK,2014,27.7
797,AK,2013,32.4
798,AK,2012,31.4
799,AK,2011,32.4
800,AK,2010,34.0
801,AK,2009,28.0
802,AK,2008,29.9
803,AK,2007,23.6
804,AK,2006,24.0
805,AK,2014,24.2
806,AK,2013,24.5
807,AK,2012,25.3
808,AK,2011,25.3
809,AK,2010,26.3
810,AK,2009,25.7
811,AK,2008,23.3
812,AK,2007,19.4
813,AK,2006,18.6
814,AK,2014,19.5
815,AK,2013,26.0
816,AK,2012,25.7
817,AK,2011,25.3
818,AK,2010,24.3
819,AK,2009,21.5
820,AK,2008,19.3
821,AK,2007,24.2
822,AK,2006,25.8
823,AK,2014,24.4
824,AK,2013,27.5
825,AK,2012,29.7
826,AK,2011,27.1
827,AK,2010,27.5
828,AK,2009,29.3
829,AK,2008,29.5
830,AK,2007,29.6
831,AK,2006,29.6
832,AK,2014,20.3
833,AK,2013,22.8
834,AK,2012,24.8
835,AK,2011,24.4
836,AK,2010,25.0
837,AK,2009,24.6
838,AK,2008,23.5
839,AK,2007,23.3
840,AK,2006,24.7
841,AK,2014,25.6
842,AK,2013,28.2
843,AK,2012,30.1
844,AK,2011,30.1
845,AK,2010,27.9
846,AK,2009,30.6
847,AK,2008,28.7
848,AK,2007,21.2
849,AK,2006,16.1
850,AK,2014,20.5
851,AK,2013,24.3
852,AK,2012,22.9
853,AK,2011,26.7
854,AK,2010,25.9
855,AK,2009,26.2
856,AK,2008,24.6
857,AK,2007,22.2
858,AK,2006,22.0
859,AK,2014,30.7
860,AK,2013,35.5
861,AK,2012,36.3
862,AK,2011,30.8
863,AK,2010,29.7
864,AK,2009,32.2
865,AK,2008,32.9
866,AK,2007,26.5
867,AK,2006,24.4
868,AK,2014,31.4
869,AK,2013,33.3
870,AK,2012,36.8
871,AK,2011,36.3
872,AK,2010,34.2
873,AK,2009,35.7
874,AK,2008,30.7
875,AK,2007,24.7
876,AK,2006,23.3
877,AZ,2014,16.1
878,AZ,2013,20.0
879,AZ,2012,20.4
880,AZ,2011,19.6
881,AZ,2010,19.3
882,AZ,2009,19.9
883,AZ,2008,20.5
884,AZ,2007,21.1
885,AZ,2006,21.8
886,AZ,2014,21.0
887,AZ,2013,23.5
888,AZ,2012,25.3
889,AZ,2011,21.6
890,AZ,2010,21.4
891,AZ,2009,24.0
892,AZ,2008,25.8
893,AZ,2007,13.4
894,AZ,2006,12.2
895,AZ,2014,14.2
896,AZ,2013,17.8
897,AZ,2012,18.8
898,AZ,2011,18.8
899,AZ,2010,17.1
900,AZ,2009,16.1
901,AZ,2008,17.9
902,AZ,2007,19.9
903,AZ,2006,19.2
904,AZ,2014,18.8
905,AZ,2013,21.1
906,AZ,2012,24.8
907,AZ,2011,22.6
908,AZ,2010,21.4
909,AZ,2009,19.4
910,AZ,2008,24.2
911,AZ,2007,22.1
912,AZ,2006,20.7
913,AZ,2014,17.6
914,AZ,2013,19.8
915,AZ,2012,20.9
916,AZ,2011,19.6
917,AZ,2010,19.5
918,AZ,2009,18.9
919,AZ,2008,20.3
920,AZ,2007,16.2
921,AZ,2006,16.9
922,AZ,2014,14.5
923,AZ,2013,17.7
924,AZ,2012,21.1
925,AZ,2011,17.4
926,AZ,2010,18.6
927,AZ,2009,19.4
928,AZ,2008,20.6
929,AZ,2007,17.3
930,AZ,2006,18.3
931,AZ,2014,10.9
932,AZ,2013,11.6
933,AZ,2012,14.6
934,AZ,2011,14.4
935,AZ,2010,15.1
936,AZ,2009,15.2
937,AZ,2008,18.2
938,AZ,2007,14.9
939,AZ,2006,12.9
940,AZ,2014,24.0
941,AZ,2013,27.3
942,AZ,2012,26.9
943,AZ,2011,26.2
944,AZ,2010,25.5
945,AZ,2009,24.7
946,AZ,2008,25.2
947,AZ,2007,19.9
948,AZ,2006,23.4
949,AZ,2014,15.6
950,AZ,2013,19.8
951,AZ,2012,20.0
952,AZ,2011,19.6
953,AZ,2010,19.2
954,AZ,2009,20.2
955,AZ,2008,20.3
956,AZ,2007,21.5
957,AZ,2006,22.4
958,AZ,2014,19.5
959,AZ,2013,22.1
960,AZ,2012,23.1
961,AZ,2011,20.1
962,AZ,2010,20.4
963,AZ,2009,19.8
964,AZ,2008,21.8
965,AZ,2007,19.2
966,AZ,2006,21.7
967,AZ,2014,18.6
968,AZ,2013,21.7
969,AZ,2012,22.6
970,AZ,2011,21.2
971,AZ,2010,19.4
972,AZ,2009,19.5
973,AZ,2008,24.1
974,AZ,2007,18.0
975,AZ,2006,14.8
976,AZ,2014,16.0
977,AZ,2013,18.8
978,AZ,2012,18.8
979,AZ,2011,17.7
980,AZ,2010,18.2
981,AZ,2009,18.2
982,AZ,2008,18.6
983,AZ,2007,20.5
984,AZ,2006,21.4
985,AZ,2014,14.3
986,AZ,2013,19.8
987,AZ,2012,19.6
988,AZ,2011,19.4
989,AZ,2010,19.3
990,AZ,2009,19.2
991,AZ,2008,21.5
992,AZ,2007,19.3
993,AZ,2006,19.4
994,AZ,2014,20.7
995,AZ,2013,24.7
996,AZ,2012,26.6
997,AZ,2011,26.2
998,AZ,2010,23.9
999,AZ,2009,23.9
1000,AZ,2008,28.4
1001,AZ,2007,25.4
1002,AZ,2006,24.2
1003,AZ,2014,18.1
1004,AZ,2013,22.0
1005,AZ,2012,21.8
1006,AZ,2011,19.1
1007,AZ,2010,20.0
1008,AZ,2009,19.6
1009,AZ,2008,22.7
1010,AZ,2007,21.8
1011,AZ,2006,24.5
1012,AZ,2014,19.4
1013,AZ,2013,24.0
1014,AZ,2012,27.3
1015,AZ,2011,24.1
1016,AZ,2010,23.9
1017,AZ,2009,23.1
1018,AZ,2008,24.8
1019,AZ,2007,24.2
1020,AZ,2006,22.5
1021,AR,2014,13.8
1022,AR,2013,18.8
1023,AR,2012,19.4
1024,AR,2011,20.1
1025,AR,2010,20.6
1026,AR,2009,19.6
1027,AR,2008,19.8
1028,AR,2007,19.9
1029,AR,2006,20.2
1030,AR,2014,12.9
1031,AR,2013,18.0
1032,AR,2012,19.4
1033,AR,2011,19.7
1034,AR,2010,19.0
1035,AR,2009,18.8
1036,AR,2008,19.2
1037,AR,2007,18.2
1038,AR,2006,17.4
1039,AR,2014,11.7
1040,AR,2013,17.3
1041,AR,2012,18.6
1042,AR,2011,19.3
1043,AR,2010,19.9
1044,AR,2009,19.9
1045,AR,2008,18.9
1046,AR,2007,17.0
1047,AR,2006,17.7
1048,AR,2014,13.5
1049,AR,2013,18.9
1050,AR,2012,20.3
1051,AR,2011,20.4
1052,AR,2010,22.2
1053,AR,2009,20.0
1054,AR,2008,21.3
1055,AR,2007,22.0
1056,AR,2006,24.1
1057,AR,2014,14.2
1058,AR,2013,18.0
1059,AR,2012,18.9
1060,AR,2011,18.9
1061,AR,2010,19.4
1062,AR,2009,19.5
1063,AR,2008,19.2
1064,AR,2007,21.7
1065,AR,2006,21.6
1066,AR,2014,12.7
1067,AR,2013,18.3
